timestamp,BTC-PERP,ETH-PERP,SOL-PERP
1654549200,20781.0,1213.1,37.75
1654552800,20781.0,1213.1,37.75
1654556400,20781.0,1213.1,37.75
1654560000,20781.0,1213.1,37.75
1654563600,20781.0,1213.1,37.75
1654567200,20781.0,1213.1,37.75
1654570800,20781.0,1213.1,37.75
1654574400,20781.0,1213.1,37.75
1654578000,20781.0,1213.1,37.75
1654581600,20781.0,1213.1,37.75
1654585200,20781.0,1213.2,37.75
1654588800,20781.0,1213.2,37.755
1654592400,20782.0,1213.2,37.755
1654596000,20782.0,1213.2,37.755
1654599600,20782.0,1213.2,37.755
1654603200,20782.0,1213.2,37.755
1654606800,20782.0,1213.2,37.755
1654610400,20782.0,1213.2,37.755
1654614000,20782.0,1213.2,37.755
1654617600,20781.0,1213.2,37.755
1654621200,20781.0,1213.2,37.755
1654624800,20781.0,1213.2,37.755
1654628400,20781.0,1213.2,37.755
1654632000,20782.0,1213.2,37.755
1654635600,20782.0,1213.2,37.755
1654639200,20782.0,1213.2,37.755
1654642800,20782.0,1213.2,37.755
1654646400,20782.0,1213.5,37.755
1654650000,20781.0,1213.5,37.755
1654653600,20781.0,1213.6,37.755
1654657200,20781.0,1213.6,37.755
1654660800,20781.0,1213.6,37.755
1654664400,20781.0,1213.5,37.755
1654668000,20781.0,1213.5,37.755
1654671600,20781.0,1213.5,37.755
1654675200,20781.0,1213.5,37.755
1654678800,20781.0,1213.5,37.755
1654682400,20781.0,1213.5,37.755
1654686000,20781.0,1213.5,37.755
1654689600,20781.0,1213.5,37.755
1654693200,20782.0,1213.5,37.755
1654696800,20782.0,1213.3,37.755
1654700400,20782.0,1213.3,37.755
1654704000,20782.0,1213.3,37.755
1654707600,20782.0,1213.2,37.755
1654711200,20782.0,1213.2,37.755
1654714800,20782.0,1213.2,37.755
1654718400,20782.0,1213.2,37.755
1654722000,20782.0,1213.2,37.755
1654725600,20782.0,1213.0,37.755
1654729200,20782.0,1213.0,37.755
1654732800,20782.0,1213.0,37.755
1654736400,20782.0,1213.0,37.755
1654740000,20782.0,1213.0,37.755
1654743600,20782.0,1213.0,37.755
1654747200,20782.0,1213.0,37.755
1654750800,20782.0,1213.0,37.7625
1654754400,20782.0,1213.0,37.7625
1654758000,20782.0,1213.0,37.7625
1654761600,20782.0,1213.0,37.7625
1654765200,20782.0,1212.9,37.7625
1654768800,20782.0,1212.9,37.7625
1654772400,20782.0,1212.9,37.7625
1654776000,20782.0,1212.9,37.7625
1654779600,20782.0,1212.9,37.7625
1654783200,20782.0,1212.9,37.7625
1654786800,20782.0,1212.9,37.7625
1654790400,20782.0,1212.9,37.76
1654794000,20782.0,1212.9,37.76
1654797600,20782.0,1212.8,37.7625
1654801200,20782.0,1212.8,37.7625
1654804800,20783.0,1212.8,37.7625
1654808400,20783.0,1212.8,37.7625
1654812000,20783.0,1212.6,37.7625
1654815600,20783.0,1212.6,37.7625
1654819200,20783.0,1212.6,37.7625
1654822800,20783.0,1212.6,37.7625
1654826400,20783.0,1212.6,37.7625
1654830000,20783.0,1212.6,37.7625
1654833600,20783.0,1212.6,37.7625
1654837200,20783.0,1212.6,37.7625
1654840800,20783.0,1212.6,37.7625
1654844400,20783.0,1212.6,37.7625
1654848000,20783.0,1212.6,37.7625
1654851600,20783.0,1212.6,37.7625
1654855200,20783.0,1212.6,37.7625
1654858800,20783.0,1212.6,37.7625
1654862400,20783.0,1212.6,37.7625
1654866000,20783.0,1212.6,37.7625
1654869600,20783.0,1212.6,37.7625
1654873200,20783.0,1212.6,37.7625
1654876800,20783.0,1212.6,37.7625
1654880400,20783.0,1212.6,37.7625
1654884000,20783.0,1212.6,37.7625
1654887600,20783.0,1212.6,37.7625
1654891200,20783.0,1212.6,37.7625
1654894800,20783.0,1212.6,37.7625
1654898400,20783.0,1212.6,37.7625
1654902000,20783.0,1212.6,37.7625
1654905600,20783.0,1212.6,37.7625
1654909200,20783.0,1212.6,37.7625
1654912800,20783.0,1212.6,37.7625
1654916400,20783.0,1212.6,37.7625
1654920000,20783.0,1212.6,37.7625
1654923600,20783.0,1212.6,37.77
1654927200,20783.0,1212.6,37.77
1654930800,20783.0,1212.6,37.77
1654934400,20783.0,1212.6,37.77
1654938000,20783.0,1212.6,37.77
1654941600,20785.0,1212.6,37.77
1654945200,20785.0,1212.6,37.77
1654948800,20785.0,1212.6,37.77
